,Pressure Ratio,Rated Thrust (kN),Fuel Flow Idle (kg/sec),Fuel Flow T/O (kg/sec),Fuel Flow C/O (kg/sec),Fuel Flow App (kg/sec),NOx EI Idle (g/kg),NOx EI T/O (g/kg),NOx EI C/O (g/kg),NOx EI App (g/kg)
0,25.2,106.8,0.13,1.114,0.911,0.318,4.3,20.4,17.3,8.7
1,23.5,97.9,0.128,0.985,0.819,0.311,4.0,18.5,16.0,8.2
2,23.5,97.9,0.128,0.985,0.819,0.311,4.0,18.5,16.0,8.2
3,22.4,89.4,0.114,0.946,0.792,0.29,3.9,17.7,15.5,8.3
4,24.1,98.3,0.119,1.056,0.878,0.314,4.1,19.4,16.7,8.7
5,25.5,104.6,0.124,1.154,0.954,0.336,4.3,20.7,17.8,9.1
6,21.3,82.3,0.111,0.872,0.732,0.273,3.8,16.6,14.7,8.0
7,26.6,111.2,0.101,1.051,0.862,0.291,4.0,24.6,19.6,8.0
8,27.9,117.9,0.104,1.131,0.925,0.307,4.1,26.4,21.1,8.3
9,23.8,97.9,0.095,0.897,0.74,0.261,4.04,22.64,19.11,8.51
10,25.1,104.5,0.098,0.972,0.799,0.276,4.29,24.79,19.98,8.94
11,30.2,133.5,0.117,1.359,1.113,0.364,4.6,35.1,27.2,10.8
12,30.2,133.5,0.129,1.345,1.104,0.369,4.73,27.75,14.91,7.02
13,30.5,133.5,0.12,1.32,1.07,0.37,4.1,23.3,16.4,7.3
14,30.2,133.4,0.109,1.318,1.063,0.347,4.45,26.18,19.77,9.28
15,30.5,133.5,0.11,1.295,1.058,0.345,4.5,33.0,26.2,10.7
16,31.3,137.9,0.119,1.426,1.158,0.376,4.7,37.8,28.5,11.0
17,31.2,137.9,0.131,1.406,1.132,0.377,4.82,29.57,15.86,7.24
18,31.6,137.9,0.13,1.39,1.11,0.39,4.2,29.4,17.5,7.6
19,31.3,137.9,0.111,1.385,1.107,0.358,4.53,28.26,20.76,9.42
20,31.6,137.9,0.113,1.361,1.099,0.356,4.6,35.1,27.4,10.9
21,32.8,142.4,0.13,1.47,1.15,0.4,4.3,32.0,18.6,7.8
22,32.6,142.3,0.113,1.462,1.153,0.369,4.6,30.9,21.83,9.56
23,32.8,142.4,0.115,1.43,1.141,0.366,4.7,37.3,28.5,11.2
24,27.1,117.9,0.107,1.166,0.961,0.326,4.3,28.7,23.3,10.0
25,27.1,117.9,0.121,1.18,0.975,0.335,4.49,16.61,12.58,6.13
26,27.7,120.1,0.12,1.14,0.95,0.34,3.9,18.4,13.6,6.5
27,27.3,120.1,0.102,1.142,0.939,0.316,4.22,21.57,17.23,8.85
28,27.7,120.1,0.104,1.132,0.935,0.312,4.3,28.0,23.2,10.0
29,23.1,97.9,0.092,0.894,0.743,0.264,3.81,16.42,14.01,8.03
30,23.3,97.9,0.094,0.891,0.742,0.26,3.8,21.9,18.5,8.7
31,24.8,104.5,0.111,0.998,0.827,0.315,3.9,13.51,10.41,10.32
32,24.6,104.5,0.11,0.97,0.81,0.31,3.6,14.2,11.0,8.7
33,24.3,104.5,0.095,0.965,0.8,0.279,3.94,17.73,14.88,8.29
34,24.6,104.5,0.097,0.961,0.799,0.275,4.0,23.6,19.6,9.2
35,27.3,120.1,0.102,1.142,0.939,0.316,4.22,21.57,17.23,8.85
36,27.7,120.1,0.104,1.132,0.935,0.312,4.3,28.0,23.2,10.0
37,22.7,96.1,0.091,0.875,0.727,0.26,3.77,16.1,13.79,7.96
38,22.6,94.7,0.094,0.875,0.729,0.262,3.4,19.7,16.7,8.4
39,24.4,102.2,0.105,0.961,0.799,0.296,3.2,13.9,10.7,7.6
40,24.2,103.6,0.095,0.956,0.793,0.278,3.92,17.54,14.76,8.26
41,24.0,102.2,0.098,0.954,0.794,0.28,3.6,21.4,17.9,8.8
42,28.8,138.8,0.118,1.308,1.076,0.356,4.19,32.6,25.8,10.0
43,28.2,137.6,0.109,1.252,1.035,0.342,3.9,29.7,23.8,9.3
44,29.9,144.6,0.12,1.373,1.131,0.37,4.26,34.7,27.1,10.4
45,29.2,143.3,0.112,1.316,1.085,0.355,4.0,31.6,25.1,9.6
46,31.2,151.3,0.124,1.456,1.195,0.386,4.28,37.67,29.05,10.67
47,30.5,149.9,0.115,1.395,1.143,0.37,4.1,34.1,26.7,9.9
48,30.2,133.4,0.109,1.318,1.063,0.347,4.45,26.18,19.77,9.28
49,31.3,137.9,0.111,1.385,1.107,0.358,4.53,28.26,20.76,9.42
50,32.6,142.3,0.113,1.462,1.153,0.369,4.6,30.9,21.83,9.56
51,27.3,120.1,0.102,1.142,0.939,0.316,4.22,21.57,17.23,8.85
52,23.1,97.9,0.092,0.894,0.743,0.264,3.81,16.42,14.01,8.03
53,24.3,104.5,0.095,0.965,0.8,0.279,3.94,17.73,14.88,8.29
54,27.3,120.1,0.102,1.142,0.939,0.316,4.22,21.57,17.23,8.85
55,22.7,96.1,0.091,0.875,0.727,0.26,3.77,16.1,13.79,7.96
56,24.2,103.6,0.095,0.956,0.793,0.278,3.92,17.54,14.76,8.26
57,21.6,86.7,0.097,0.854,0.714,0.26,4.3,19.2,16.6,9.1
58,21.4,86.7,0.092,0.842,0.702,0.256,3.65,14.81,13.0,7.78
59,22.6,91.6,0.1,0.913,0.761,0.274,4.3,20.5,17.4,9.5
60,22.8,91.6,0.102,0.903,0.754,0.278,3.75,13.25,10.81,9.39
61,22.4,91.6,0.094,0.896,0.746,0.268,3.77,15.61,13.53,7.98
62,22.4,91.6,0.094,0.896,0.746,0.268,3.8,15.61,13.5,8.0
63,24.4,101.0,0.105,1.021,0.844,0.298,4.5,23.1,19.0,10.0
64,24.6,101.0,0.105,1.008,0.837,0.303,3.94,15.08,12.16,6.37
65,24.2,101.0,0.099,1.004,0.832,0.291,3.95,17.4,14.67,8.35
66,24.2,101.0,0.099,1.004,0.832,0.291,3.95,17.4,14.67,8.35
67,24.2,101.0,0.099,1.004,0.832,0.291,3.95,17.4,14.67,8.35
68,25.8,107.7,0.109,1.103,0.91,0.316,4.4,25.3,20.5,10.1
69,26.0,107.7,0.109,1.089,0.902,0.313,4.08,16.63,13.23,6.72
70,25.6,107.6,0.103,1.086,0.895,0.308,4.09,18.93,15.6,8.6
71,25.6,107.6,0.103,1.086,0.895,0.308,4.09,18.93,15.6,8.6
72,25.6,107.6,0.103,1.086,0.895,0.308,4.09,18.93,15.6,8.6
73,27.6,117.0,0.113,1.221,0.999,0.338,4.7,28.8,22.5,10.8
74,27.6,117.0,0.113,1.221,0.999,0.338,4.7,28.8,22.5,10.8
75,27.8,117.0,0.113,1.203,0.989,0.334,4.27,19.2,14.77,7.26
76,27.7,117.0,0.108,1.213,0.986,0.331,4.27,21.79,17.08,8.93
77,27.7,117.0,0.108,1.213,0.986,0.331,4.22,22.9,17.68,9.37
78,27.7,117.0,0.108,1.213,0.986,0.331,4.27,21.79,17.08,8.93
79,27.7,117.0,0.108,1.213,0.986,0.331,4.27,21.79,17.08,8.93
80,27.7,117.0,0.108,1.213,0.986,0.331,4.27,21.79,17.08,8.93
81,27.7,117.0,0.108,1.213,0.986,0.331,4.27,21.79,17.08,8.93
82,27.7,117.0,0.108,1.213,0.986,0.331,4.27,21.79,17.08,8.93
83,28.6,121.4,0.116,1.284,1.043,0.349,4.8,30.9,23.7,11.0
84,28.8,121.4,0.115,1.265,1.033,0.351,4.36,20.81,15.59,7.53
85,29.0,121.4,0.11,1.293,1.031,0.343,4.36,23.94,17.89,9.09
86,29.0,121.4,0.11,1.293,1.031,0.343,4.36,23.94,17.89,9.09
87,29.0,121.4,0.11,1.293,1.031,0.343,4.36,23.94,17.89,9.09
88,29.0,121.4,0.11,1.293,1.031,0.343,4.36,23.94,17.89,9.09
89,29.0,121.4,0.11,1.293,1.031,0.343,4.36,23.94,17.89,9.09
90,29.0,121.4,0.11,1.293,1.031,0.343,4.36,23.94,17.89,9.09
91,29.0,121.4,0.11,1.293,1.031,0.343,4.36,23.94,17.89,9.09
92,22.4,91.6,0.094,0.896,0.746,0.268,3.8,15.61,13.5,8.0
93,24.2,101.0,0.099,1.004,0.832,0.291,3.95,17.4,14.67,8.35
94,24.2,101.0,0.099,1.004,0.832,0.291,3.95,17.4,14.67,8.35
95,25.6,107.6,0.103,1.086,0.895,0.308,4.09,18.93,15.6,8.6
96,25.6,107.6,0.103,1.086,0.895,0.308,4.09,18.93,15.6,8.6
97,27.7,117.0,0.108,1.213,0.986,0.331,4.27,21.79,17.08,8.93
98,27.7,117.0,0.108,1.213,0.986,0.331,4.27,21.79,17.08,8.93
99,27.7,117.0,0.108,1.213,0.986,0.331,4.27,21.79,17.08,8.93
100,27.7,117.0,0.108,1.213,0.986,0.331,4.27,21.79,17.08,8.93
101,27.7,117.0,0.108,1.213,0.986,0.331,4.27,21.79,17.08,8.93
102,29.0,121.4,0.11,1.293,1.031,0.343,4.36,23.94,17.89,9.09
103,29.0,121.4,0.11,1.293,1.031,0.343,4.36,23.94,17.89,9.09
104,29.0,121.4,0.11,1.293,1.031,0.343,4.36,23.94,17.89,9.09
105,29.0,121.4,0.11,1.293,1.031,0.343,4.36,23.94,17.89,9.09
106,29.0,121.4,0.11,1.293,1.031,0.343,4.36,23.94,17.89,9.09
107,29.0,121.4,0.11,1.293,1.031,0.343,4.36,23.94,17.89,9.09
